id,название,описание,подробно,дни,доступно с,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3,случайно1,случайно2,случайно3,случайно4,случайно5,случайно6,случайно7,случайно8,случайно9,случайно10
ru-eurasian-dialogue,Евразийский диалог,Продвинуть торговые и гуманитарные связи с соседями через договоры и взаимные проекты.,"Продвинуть торговые и гуманитарные связи с соседями через договоры и взаимные проекты.

Подробно: фокус «Евразийский диалог» разворачивает направление «Дипломатия» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=25, budget=20, food=15.",45,,Дипломатия,5,3,ru-brics-projects,,,,,,,,,,Ru-viboty2026-pobeda-kommunizma,,,,,,,,,,politicalPower=25,budget=20,food=15,,,,,,,,,,,,,,,,,,,,
ru-brics-projects,Проекты БРИКС,Расширить промышленную и финансовую кооперацию с партнерами БРИКС на договорной основе.,"Расширить промышленную и финансовую кооперацию с партнерами БРИКС на договорной основе.

Подробно: фокус «Проекты БРИКС» разворачивает направление «Дипломатия» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=30, rare=20, gdp=20.",60,,Дипломатия,5,4,ru-national-currency-trade,,,,,,,,,,ru-eurasian-dialogue,,,,,,,,,,politicalPower=30,rare=20,gdp=20,,,,,,,,,,,,,,,,,,,,
ru-national-currency-trade,Расчеты в нацвалютах,Развивать расчеты в национальных валютах для устойчивой торговли и снижения транзакционных рисков.,"Развивать расчеты в национальных валютах для устойчивой торговли и снижения транзакционных рисков.

Подробно: фокус «Расчеты в нацвалютах» разворачивает направление «Дипломатия» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: budget=45, politicalPower=25, gdp=15.",55,,Дипломатия,5,5,ru-science-exchange,,,,,,,,,,ru-brics-projects,,,,,,,,,,budget=45,politicalPower=25,gdp=15,,,,,,,,,,,,,,,,,,,,
ru-science-exchange,Научный обмен,Поддержать совместные исследовательские программы университетов и технологических компаний.,"Поддержать совместные исследовательские программы университетов и технологических компаний.

Подробно: фокус «Научный обмен» разворачивает направление «Дипломатия» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: rare=18, gdp=18, stability=2.",55,,Дипломатия,5,6,ru-lawful-influence,,,,,,,,,,ru-national-currency-trade,,,,,,,,,,rare=18,gdp=18,stability=2,,,,,,,,,,,,,,,,,,,,
ru-lawful-influence,Законное влияние,Укрепить международный авторитет через договоры торговлю культуру и участие в многосторонних институтах.,"Укрепить международный авторитет через договоры торговлю культуру и участие в многосторонних институтах.

Подробно: фокус «Законное влияние» разворачивает направление «Дипломатия» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=55, budget=35, stability=3.",70,,Дипломатия,5,7,ru-red-development-consensus,,,,,,,,,,ru-science-exchange,,,,,,,,,,politicalPower=55,budget=35,stability=3,,,,,,,,,,,,,,,,,,,,
ru-continuity-state-projects,Национальные проекты 2.0,Обновить национальные проекты через измеримые показатели контроль сроков и публичную отчетность регионов.,"Обновить национальные проекты через измеримые показатели контроль сроков и публичную отчетность регионов.

Подробно: фокус «Национальные проекты 2.0» разворачивает направление «Курс большинства» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=4, gdp=18, budget=25.",55,,Курс большинства,7,3,ru-continuity-budget-rule,ru-continuity-managed-modernization,ru-continuity-industrial-orders,,,,,,,,ru-continuity-majority,,,,,,,,,,stability=4,gdp=18,budget=25,,,,,,,,,,,,,,,,,,,,
ru-continuity-budget-rule,Бюджетная дисциплина,Сохранить устойчивость бюджета и направить дополнительные доходы на инфраструктуру и технологические отрасли.,"Сохранить устойчивость бюджета и направить дополнительные доходы на инфраструктуру и технологические отрасли.

Подробно: фокус «Бюджетная дисциплина» разворачивает направление «Курс большинства: Институты» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: budget=55, politicalPower=20, stability=2.",55,,Курс большинства: Институты,6,4,ru-continuity-stable-majority,,,,,,,,,,ru-continuity-state-projects,,,,,,,,,,budget=55,politicalPower=20,stability=2,,,,,,,,Курс большинства: Экономика,Курс большинства: Регионы,,,,,,,,,,,
ru-continuity-managed-modernization,Управляемая модернизация,Провести осторожное обновление кадров и цифровизацию госуслуг без резких институциональных конфликтов.,"Провести осторожное обновление кадров и цифровизацию госуслуг без резких институциональных конфликтов.

Подробно: фокус «Управляемая модернизация» разворачивает направление «Курс большинства: Экономика» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=35, gdp=20, rare=12.",60,,Курс большинства: Экономика,7,4,ru-continuity-regional-governors,,,,,,,,,,ru-continuity-state-projects,,,,,,,,,,politicalPower=35,gdp=20,rare=12,,,,,,,,Курс большинства: Институты,Курс большинства: Регионы,,,,,,,,,,,
ru-continuity-industrial-orders,Заказы развития,Сконцентрировать государственные заказы на транспорте энергетике станках и гражданской электронике.,"Сконцентрировать государственные заказы на транспорте энергетике станках и гражданской электронике.

Подробно: фокус «Заказы развития» разворачивает направление «Курс большинства: Регионы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: factories=4, steel=25, gdp=25.",65,,Курс большинства: Регионы,8,4,ru-continuity-family-capital,,,,,,,,,,ru-continuity-state-projects,,,,,,,,,,factories=4,steel=25,gdp=25,,,,,,,,Курс большинства: Институты,Курс большинства: Экономика,,,,,,,,,,,
ru-continuity-stable-majority,Стабильное большинство,Закрепить парламентскую координацию правительства регионов и комитетов для долгосрочного курса.,"Закрепить парламентскую координацию правительства регионов и комитетов для долгосрочного курса.

Подробно: фокус «Стабильное большинство» разворачивает направление «Курс большинства: Институты» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=70, stability=7, budget=30.",75,,Курс большинства: Институты,6,5,ru-continuity-transport-corridors,,,,,,,,,,ru-continuity-budget-rule,,,,,,,,,,politicalPower=70,stability=7,budget=30,,,,,,,,,,,,,,,,,,,,
ru-continuity-regional-governors,Школа губернаторов,Укрепить кадровый резерв регионов и связать оценку губернаторов с качеством проектов и уровнем жизни.,"Укрепить кадровый резерв регионов и связать оценку губернаторов с качеством проектов и уровнем жизни.

Подробно: фокус «Школа губернаторов» разворачивает направление «Курс большинства: Экономика» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=4, politicalPower=25, gdp=14.",55,,Курс большинства: Экономика,7,5,ru-continuity-digital-control,,,,,,,,,,ru-continuity-managed-modernization,,,,,,,,,,stability=4,politicalPower=25,gdp=14,,,,,,,,,,,,,,,,,,,,
ru-continuity-family-capital,Семейный капитал,Расширить адресные семейные меры и поддержку ипотеки без перегрева бюджета.,"Расширить адресные семейные меры и поддержку ипотеки без перегрева бюджета.

Подробно: фокус «Семейный капитал» разворачивает направление «Курс большинства: Регионы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=4, food=20, budget=15.",55,,Курс большинства: Регионы,8,5,ru-continuity-university-consortiums,,,,,,,,,,ru-continuity-industrial-orders,,,,,,,,,,stability=4,food=20,budget=15,,,,,,,,,,,,,,,,,,,,
ru-continuity-transport-corridors,Транспортные коридоры,Ускорить дороги железные дороги и портовую логистику для внутренней торговли и экспорта.,"Ускорить дороги железные дороги и портовую логистику для внутренней торговли и экспорта.

Подробно: фокус «Транспортные коридоры» разворачивает направление «Курс большинства: Институты» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: gdp=28, steel=25, oil=15.",65,,Курс большинства: Институты,6,6,ru-continuity-health-standards,,,,,,,,,,ru-continuity-stable-majority,,,,,,,,,,gdp=28,steel=25,oil=15,,,,,,,,,,,,,,,,,,,,
ru-continuity-digital-control,Цифровой контроль проектов,Ввести единый мониторинг строек закупок и исполнения программ с публичными индикаторами.,"Ввести единый мониторинг строек закупок и исполнения программ с публичными индикаторами.

Подробно: фокус «Цифровой контроль проектов» разворачивает направление «Курс большинства: Экономика» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=30, budget=25, stability=2.",55,,Курс большинства: Экономика,7,6,ru-continuity-export-platform,,,,,,,,,,ru-continuity-regional-governors,,,,,,,,,,politicalPower=30,budget=25,stability=2,,,,,,,,,,,,,,,,,,,,
ru-continuity-university-consortiums,Университетские консорциумы,Связать крупные университеты предприятия и регионы через прикладные исследовательские программы.,"Связать крупные университеты предприятия и регионы через прикладные исследовательские программы.

Подробно: фокус «Университетские консорциумы» разворачивает направление «Курс большинства: Регионы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: rare=25, gdp=22, factories=1.",60,,Курс большинства: Регионы,8,6,ru-continuity-civil-defense,,,,,,,,,,ru-continuity-family-capital,,,,,,,,,,rare=25,gdp=22,factories=1,,,,,,,,,,,,,,,,,,,,
ru-continuity-health-standards,Единые стандарты медицины,Закрепить минимальные стандарты доступности медицины для регионов и городских агломераций.,"Закрепить минимальные стандарты доступности медицины для регионов и городских агломераций.

Подробно: фокус «Единые стандарты медицины» разворачивает направление «Курс большинства: Институты» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=5, manpower=60, gdp=10.",55,,Курс большинства: Институты,6,7,ru-continuity-eurasian-trade,,,,,,,,,,ru-continuity-transport-corridors,,,,,,,,,,stability=5,manpower=60,gdp=10,,,,,,,,,,,,,,,,,,,,
ru-continuity-export-platform,Экспортная платформа,Поддержать несырьевой экспорт страхованием логистикой и промышленными представительствами.,"Поддержать несырьевой экспорт страхованием логистикой и промышленными представительствами.

Подробно: фокус «Экспортная платформа» разворачивает направление «Курс большинства: Экономика» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: budget=45, gdp=24, rare=12.",60,,Курс большинства: Экономика,7,7,ru-continuity-long-course,,,,,,,,,,ru-continuity-digital-control,,,,,,,,,,budget=45,gdp=24,rare=12,,,,,,,,,,,,,,,,,,,,
ru-continuity-civil-defense,Готовность служб,Обновить гражданскую защиту аварийные службы и резервы регионов для кризисных ситуаций.,"Обновить гражданскую защиту аварийные службы и резервы регионов для кризисных ситуаций.

Подробно: фокус «Готовность служб» разворачивает направление «Курс большинства: Регионы» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: commandPower=30, stability=3, steel=15.",55,,Курс большинства: Регионы,8,7,,,,,,,,,,,ru-continuity-university-consortiums,,,,,,,,,,commandPower=30,stability=3,steel=15,,,,,,,,,,,,,,,,,,,,
ru-continuity-eurasian-trade,Евразийская торговля,Развить договорную торговлю и промышленные цепочки с соседними рынками.,"Развить договорную торговлю и промышленные цепочки с соседними рынками.

Подробно: фокус «Евразийская торговля» разворачивает направление «Курс большинства: Институты» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=35, budget=35, food=20.",60,,Курс большинства: Институты,6,8,,,,,,,,,,,ru-continuity-health-standards,,,,,,,,,,politicalPower=35,budget=35,food=20,,,,,,,,,,,,,,,,,,,,
ru-continuity-long-course,Длинный курс,Свести преемственность бюджета регионов инфраструктуры и промышленности в устойчивую государственную линию.,"Свести преемственность бюджета регионов инфраструктуры и промышленности в устойчивую государственную линию.

Подробно: фокус «Длинный курс» разворачивает направление «Курс большинства: Экономика» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: politicalPower=100, stability=8, gdp=45, factories=4.",85,,Курс большинства: Экономика,7,8,,,,,,,,,,,ru-continuity-export-platform,,,,,,,,,,politicalPower=100,stability=8,gdp=45,factories=4,,,,,,,,,,,,,,,,,,,
ru-patriotic-veteran-support,Поддержка ветеранов,Расширить законные социальные гарантии для ветеранов семей военнослужащих и работников оборонных предприятий.,"Расширить законные социальные гарантии для ветеранов семей военнослужащих и работников оборонных предприятий.

Подробно: фокус «Поддержка ветеранов» разворачивает направление «Патриотический курс» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: stability=4, warSupport=3, manpower=70.",55,,Патриотический курс,7,3,ru-patriotic-border-regions,,,,,,,,,,ru-patriotic-mandate,,,,,,,,,,stability=4,warSupport=3,manpower=70,,,,,,,,,,,,,,,,,,,,
ru-patriotic-border-regions,Приграничные регионы,Усилить инфраструктуру медицину связь и гражданскую защиту приграничных субъектов в рамках действующего права.,"Усилить инфраструктуру медицину связь и гражданскую защиту приграничных субъектов в рамках действующего права.

Подробно: фокус «Приграничные регионы» разворачивает направление «Патриотический курс» через законные парламентские процедуры, бюджетное планирование, публичные программы и контроль исполнения на федеральном и региональном уровнях. В рамках сценария это не меняет конституционные основы напрямую, а оформляет политический мандат как набор управленческих решений, коалиционных договоренностей и административных приоритетов.

Для игрока этот шаг задает более точную специализацию ветки: часть ресурсов переводится в устойчивость системы, часть - в экономические, промышленные или мобилизационные возможности, а часть влияет на темп дальнейших решений.  Решение становится доступным после выполнения связанных подготовительных фокусов. Игровой эффект: commandPower=25, stability=3, steel=20.",60,,Патриотический курс,7,4,ru-patriotic-defense-audit,,,,,,,,,,ru-patriotic-veteran-support,,,,,,,,,,commandPower=25,stability=3,steel=20,,,,,,,,,,,,,,,,,,,,
